model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gpt-5.4,0,global,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,"Deion Sanders was inducted into the **Pro Football Hall of Fame** in **2011**.

If you mean **“what team did he go in as?”** — the Pro Football Hall of Fame **does not induct players with a specific team designation** the way some other halls do. So he did **not officially go in as a Cowboy, Falcon, 49er, etc.**

That said, he’s most strongly associated with the **Atlanta Falcons**, **Dallas Cowboys","Deion Sanders was inducted into the **Pro Football Hall of Fame** in **2011**.

If you mean **“what team did he go in as?”** — the Pro Football Hall of Fame **does not induct players with a specific team designation** the way some other halls do. So he went in simply as **Deion Sanders**, not officially as a Falcon, Cowboy, 49er, etc.

That said, he’s most commonly associated with the **Atlanta Falcons",79.14791992496232,0.9768537282943726,,-0.0,-0.4483356545483419,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,1,global,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The person who runs the U.S. House of Representatives is called the **Speaker of the House**.,The person who runs the U.S. House of Representatives is called the **Speaker of the House**.,100.00000000000004,1.0000001192092896,,-0.0,0.012447164431838069,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,2,global,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,"France aided the American colonies mainly because it wanted to **weaken Great Britain**, its longtime rival.

Key reasons:

1. **Revenge for earlier defeats**  
   France had lost major territory and prestige to Britain in the **Seven Years’ War (French and Indian War)**, especially in North America. Supporting the colonies was a way to strike back.

2. **Reduce British power**  
   If the colonies became independent, Britain would lose a huge and valuable part of","France aided the American colonies mainly because it wanted to **weaken Great Britain**, its longtime rival.

Key reasons:

- **Revenge for earlier defeats:** France had lost major territory and prestige to Britain in the **Seven Years’ War (French and Indian War)**, especially in North America. Helping the colonies was a way to strike back.
- **Reduce British power:** If the colonies became independent, Britain would lose a huge and valuable part of its empire.
- **Opportunity",81.30495212824708,0.9582880735397339,,-0.0,0.08507077683527431,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,3,global,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0,"*Sly and the Family Stone*’s **There’s a Riot Goin’ On** was released on **November 20, 1971**.

If you want, I can also give you:
- the tracklist
- chart performance
- recording background
- why it’s considered so influential","*Sly and the Family Stone*’s **There’s a Riot Goin’ On** was released on **November 20, 1971**.

If you want, I can also give you:
- the tracklist
- chart performance
- recording background
- why it’s considered so influential",100.00000000000004,1.0,,-0.0,-0.10717682717358734,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,4,global,0,natural_questions,who played the hobbits in the lord of the rings,who played the hobbits in the lord of the rings,0.9999999403953552,"In *The Lord of the Rings* film trilogy, the four main hobbits were played by:

- **Elijah Wood** as **Frodo Baggins**
- **Sean Astin** as **Samwise Gamgee**
- **Dominic Monaghan** as **Meriadoc “Merry” Brandybuck**
- **Billy Boyd** as **Peregrin “Pippin” Took**

If you want, I can also list other hob","In *The Lord of the Rings* film trilogy, the four main hobbits were played by:

- **Elijah Wood** as **Frodo Baggins**
- **Sean Astin** as **Samwise Gamgee**
- **Dominic Monaghan** as **Meriadoc “Merry” Brandybuck**
- **Billy Boyd** as **Peregrin “Pippin” Took**

If you want, I can also list the actors",97.66041382465431,0.9933025240898132,,-0.0,0.3503752425201341,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,5,global,0,natural_questions,who played the doctor in band of brothers,who played the doctor in band of brothers,1.0,"In *Band of Brothers*, the doctor/medic **Eugene “Doc” Roe** was played by **Shane Taylor**.

If you meant the battalion surgeon/medical officer rather than “Doc Roe,” tell me and I can identify that actor too.","In *Band of Brothers*, the doctor/medic **Eugene “Doc” Roe** was played by **Shane Taylor**.

If you meant the battalion surgeon/medical officer rather than Doc Roe, tell me which scene or episode and I can identify that actor too.",83.20990000350872,0.9851789474487305,,-0.0,0.312972696453798,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,6,global,0,natural_questions,short notes on characters of merchant of venice,short notes on characters of merchant of venice,1.0000001192092896,"Here are **short notes on the main characters of *The Merchant of Venice***:

### 1. **Antonio**
- A wealthy merchant of Venice.
- Kind and generous to his friend Bassanio.
- Melancholic at the beginning of the play.
- Borrows money from Shylock and risks his life for Bassanio.

### 2. **Shylock**
- A Jewish moneylender in Venice.
- Intelligent, proud, and revengeful.
- H","Here are **short notes on the main characters of *The Merchant of Venice***:

### 1. **Antonio**
- The merchant of Venice and a close friend of Bassanio.
- Kind, generous, and loyal, but also sad and serious in nature.
- He borrows money from Shylock to help Bassanio.
- His hatred for Shylock shows religious prejudice.

### 2. **Shylock**
- A Jewish moneylender in Venice.
-",59.7452565375315,0.954230010509491,,-0.0,0.7611694444397323,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,7,global,0,natural_questions,did the movie rocky win any academy awards,did the movie rocky win any academy awards,1.0000001192092896,"Yes. *Rocky* (1976) won **3 Academy Awards**:

- **Best Picture**
- **Best Director** — John G. Avildsen
- **Best Film Editing**

It was also nominated for several others, including **Best Actor** for Sylvester Stallone and **Best Original Screenplay**.","Yes. *Rocky* (1976) won **3 Academy Awards**:

- **Best Picture**
- **Best Director** — John G. Avildsen
- **Best Film Editing**

It was also nominated for several others, including **Best Actor** for Sylvester Stallone and **Best Original Screenplay**.",100.00000000000004,1.0,,-0.0,-0.07765053133248112,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,8,global,0,natural_questions,where does the show the path take place,where does the show the path take place,0.9999998211860657,"There are a few shows called **“The Path”**, but if you mean the **2016 Hulu drama starring Aaron Paul**, it takes place primarily in **upstate New York**, in and around a fictional community tied to the Meyerist movement.

If you meant a different show with that title, tell me which one and I can narrow it down.","There are a few shows called **“The Path”**, but if you mean the **2016 Hulu drama starring Aaron Paul**, it takes place primarily in **upstate New York**, in and around a fictional community tied to the Meyerist movement.

If you meant a different show with that title, tell me which one and I’ll narrow it down.",95.21844284676486,0.9966033697128296,,-0.0,-0.4559304602548364,0.0,0.0,0.0,0.0,,0.0
gpt-5.4,9,global,0,natural_questions,when did michigan last win a national championship,when did michigan last win a national championship,1.0,"If you mean **Michigan football**, the Wolverines most recently won a **national championship in the 2023 season**, defeating Washington in the **College Football Playoff National Championship on January 8, 2024**.

If you meant a different sport, I can narrow it down.","If you mean **Michigan football**, the Wolverines most recently won a **national championship in the 2023 season**, defeating Washington in the **College Football Playoff National Championship on January 8, 2024**.

If you meant a different sport, I can give that too.",93.46080729401254,0.986024796962738,,-0.0,-0.16745855263031162,0.0,0.0,0.0,0.0,,0.0
